"","age","year","unit","season","area","iter","data","qname","F"
"1",0,1,"unique","all","unique","1",899578.782241956,"n","F0"
"2",1,1,"unique","all","unique","1",432429.609451392,"n","F0"
"3",2,1,"unique","all","unique","1",215177.28259036,"n","F0"
"4",3,1,"unique","all","unique","1",120895.233373113,"n","F0"
"5",4,1,"unique","all","unique","1",72443.0934867492,"n","F0"
"6",5,1,"unique","all","unique","1",46398.1148712648,"n","F0"
"7",6,1,"unique","all","unique","1",31558.0162862671,"n","F0"
"8",7,1,"unique","all","unique","1",21896.1771153148,"n","F0"
"9",8,1,"unique","all","unique","1",15400.5530646097,"n","F0"
"10",9,1,"unique","all","unique","1",10984.6490324081,"n","F0"
"11",10,1,"unique","all","unique","1",7946.28380908248,"n","F0"
"12",11,1,"unique","all","unique","1",5837.13855525437,"n","F0"
"13",12,1,"unique","all","unique","1",4351.72277072217,"n","F0"
"14",13,1,"unique","all","unique","1",3293.99864728862,"n","F0"
"15",14,1,"unique","all","unique","1",2528.68140028211,"n","F0"
"16",15,1,"unique","all","unique","1",9237.25854933652,"n","F0"
"17",0,2,"unique","all","unique","1",899578.782241956,"n","Fmsy"
"18",1,2,"unique","all","unique","1",424855.721893557,"n","Fmsy"
"19",2,2,"unique","all","unique","1",193432.811148174,"n","Fmsy"
"20",3,2,"unique","all","unique","1",96427.4327469979,"n","Fmsy"
"21",4,2,"unique","all","unique","1",48499.2605341868,"n","Fmsy"
"22",5,2,"unique","all","unique","1",24198.3321867926,"n","Fmsy"
"23",6,2,"unique","all","unique","1",12036.4851650789,"n","Fmsy"
"24",7,2,"unique","all","unique","1",5854.37030284765,"n","Fmsy"
"25",8,2,"unique","all","unique","1",2820.01018047089,"n","Fmsy"
"26",9,2,"unique","all","unique","1",1360.28845959716,"n","Fmsy"
"27",10,2,"unique","all","unique","1",661.113246679683,"n","Fmsy"
"28",11,2,"unique","all","unique","1",325.145917387786,"n","Fmsy"
"29",12,2,"unique","all","unique","1",162.0724309712,"n","Fmsy"
"30",13,2,"unique","all","unique","1",81.9974855272662,"n","Fmsy"
"31",14,2,"unique","all","unique","1",42.0807534537548,"n","Fmsy"
"32",15,2,"unique","all","unique","1",46.1903423945373,"n","Fmsy"
